id_prod_proveedor,nombre,proveedor_id,descripcion,categoria,precio,stock
48295,Vader-DDK T.T.,2,Dentro de este esta el modelo Fast. clasico,Asientos,11609.73,5
48300,Gyda-Vader-DDK ,2,prostaticoÂ t./city/T.T.especial,Asientos,18706.75,1
438-10300 ,BOLSO P/ CELULAR PARA CUADRO.,4,,Bolsos ,6079.5,1
438-10500,BOLSITO BAJO ASIENTO GRANDE,4,,Bolsos ,4860,1
438-10400,BOLSO BAJO-ASIENTO CHICO,4,,Bolsos ,4178.4,1
,Cadenas TEC ,2,(C410 - 108L - 1/2 X 1/8),Cadenas,2336.6,1
,Cadenas RLH ,2,(410Z - 108L - 1/2 X 1/8),Cadenas,2150.33,2
80054,Cadena KMC x9 vel (Z99) ,2,,Cadenas,46087.5,2
448710,L.M. 20 caja x 150 unidades,2,,Parches,2535.41,1
448700,L.M. 30 caja x 100 unidades,2,,Parches,2255.93,1
592012,Precurex 10 cm x caja de 12 pomos,2,,Parches,9428.25,1
92022,V. vulcanizada larga ,2,Camara R.29 marca DINI. 48 mm. 27.5-29 x 2.10 (100),Camaras,3398.42,4
92046,Kyowa 700 x 32-35 v.tubo ,2,(francesa) 48 mm.,Camaras,5766.67,3
92043,Kyowa 27.5-29 v. tubo ,2,(francesa) 48 mm.,Camaras,7894.08,4
800-1725,R29 Colla v. auto,4,,Camaras,2999,5
400-60-24 ,R26 Colla v. auto,4,,Camaras,2196,16
92001,V. dunlop 20 (100),2,,Camaras,2418.32,3
400-7957  ,CAMARA MTB R-29 BUTYLO A/V 48MM,4,Marca Camel,Camaras,3834.6,2
92040,Kyowa 27.5-29 v. auto vulcanizada,2,Comprende las marcas: DINI/ARISUN/KYOWA,Camaras,5129.04,21
92063,Vee Rubber butyl 27.5 ,2,x 1.50/1.75 V.auto vulc. / V  ,Camaras,6510.63,2
128025,Maxxum plastica ,2,con porta (100),Botellas,2424.95,1
128030,Caramanola Roark plastica s/porta 550ml,2,,Botellas,1633.65,1
128033,Caramanola Roark plastica s/porta 750ml,2,,Botellas,1988.48,2
422-1-14  ,CASCO OXEA 18 VENT. IN MOLD TS-09,4,,Cascos,28778.06,1
196203,R26 x 1.95 Taco comun ciudad,2,,Cubiertas,10265.43,4
196203,DSH-R26 x 1.70 Taco para ruta,2,,Cubiertas,10265.43,6
196203,DSH-R26 x 2.00 Taco bajo mtb,2,,Cubiertas,10265.43,4
196203,DSH-R26 x 2.00 Taco mediano,2,,Cubiertas,10265.43,2
196203,DSH-R26 x 2.00 Taco alto mtb ,2,,Cubiertas,10265.43,3
400-ARI25,CUBIERTA ARISUN MOUNT EMMONS,4, R-26X2.20 60 TPI,Cubiertas,14007.4,2
400-ARI26 ,CUBIERTA ARISUN MOUNT GRAHAM,4,R-26X2.20 60 TPI,Cubiertas,14007.4,3
228014,Assize 11 funciones AS 880 caja amarilla,2,,Cuenta Km,8869.49,2
228030,Cuenta kilometros Echowell Bri-2 8,2,,Cuenta Km,16959.72,1
376425,Desarma cadena Taiwan,2,,Herramientas,8140.77,3
427-007   ,ESLINGA T/RULO 12*1200 MM,4,Eslinga 4 chiquita Security Forte. C/SOPORTE,Cadenas,4650,4
112070,Firebird rulo 15 mm. Llave,2,Security Lock Forte Motorcycle Parts,Cadenas,10537.07,1
376020,Estira rayos comun,2,,Herramientas,996.45,2
392325,Beto doble valvula CLD-038     ,2,Valvulas Fijas,Infladores,13048.19,1
392332,Beto doble accion CMP-002,2,,Infladores,16257.24,4
404100,Silicona set delantera y trasera (30),2,,Luces,4082.03,2
404500,Set recargable via USB ,2,delantera y trasera 120 lumens,Luces,18244.93,1
,Lentes,2,,Lentes,1500,3
408063,T.T. 24-26 aluminio,2,Foxter/Houston (10)            ,Llantas,4353.72,3
564032,Bici T.T. aluminio por unidad,2,,Llantas,9401.08,1
376123,Llave 7 funciones tipo cortaplumas,2,,Herramientas,6548.25,1
12050,Jarama multiuso x 250cc. (12),2,,Lubricantes,2568.65,3
248028,Delantero importado con ruleman,2,,Repuestos,4251.49,2
376035,Palanca saca cubierta plastica ,2,x 3 unid. (50),Herramientas,1473.39,4
20040,Parches preencolados slime,2,,Parches,2373,11
,Pedales de aluminio,2,,Repuestos,3347.82,2
456529,T.T. aluminio / acero,2,,Accesorio,9655.79,3
480120,6 coronas,2,,Cambios Traseros,4464.64,1
480125,7 coronas,2,,Repuestos,4847.45,1
480523,Shimano HG 200 9 c. cassette en caja (Acera),2,,Repuestos,40389.36,1
128220,Porta caramanola aluminio,2,,Botellas,1531.3,1
128214,Portacaramanola plastico Smart color,2,,Botellas,1539.16,1
536168,Van Halen anillado,2,aro aluminio (VAN 201),Accesorio,11502.9,1
540350,Importado 2.34 mm. con niple x gruesa,2,,Repuestos,8867.78,1
10091/10162,Slime p/camara 1 Galon,5,,Liquido Antipinchazos,65541,1
10027/10004,Slime p/camara 16oz,5,,Liquido Antipinchazos,9918,4
10021/10003,Slime p/camara 8oz,5,,Liquido Antipinchazos,7280,3
10022/10011,Slime s/camara (tubeless) 16oz,5,,Liquido Antipinchazos,12074,4
10007,Slime s/camara (tubeless) 8oz,5,,Liquido Antipinchazos,8227,5
24041/1051-A,Solucion para parches slime,5,,Parches,2762,1
20141,Tarugos,5,,Repuestos,,10
1017-A,Valvulas cromadas slime,5,,Accesorio,2209,1