id_prod_proveedor;producto;proveedor;descripcion;categoria;precio_proveedores;stock_actual
048295  ;Vader-DDK T.T. clasico (Modelo Fast);Cerezuela;Dentro de este está el modelo Fast;Asientos;11609.73;5
048300  ;Gyda-Vader-DDK prost t./city/T.T.especial;Cerezuela;;Asientos;18706.75;1
438-10300 ;BOLSO P/ CELULAR PARA CUADRO.;Tomaselli;;Bolsos ;6079.5;1
438-10500;BOLSITO BAJO ASIENTO GRANDE;Tomaselli;;Bolsos ;4860;1
438-10400;BOLSO BAJO-ASIENTO CHICO;Tomaselli;;Bolsos ;4178.4;1
;Cadenas TEC (C410 - 108L - 1/2 X 1/8);Cerezuela;;Cadenas;2336.6;1
;Cadenas RLH (410Z - 108L - 1/2 X 1/8);Cerezuela;;Cadenas;2150.33;2
080054  ;Cadena KMC x9 vel (Z99) ;Cerezuela;;Cadenas;46087.5;2
448710  ;L.M. 20 caja x 150 unidades;Cerezuela;;Parches;2535.41;1
448700  ;L.M. 30 caja x 100 unidades;Cerezuela;;Parches;2255.93;1
592012  ;Precurex 10 cm x caja de 12 pomos;Cerezuela;;Parches;9428.25;1
092022  ;V. vulcanizada larga 48 mm. 27.5-29 x 2.10 (100);Cerezuela;Camara R.29 marca DINI;Camaras;3398.42;4
092046  ;Kyowa 700 x 32-35 v.tubo (francesa) 48 mm.;Cerezuela;;Camaras;5766.67;3
092043  ;Kyowa 27.5-29 v. tubo (francesa) 48 mm.;Cerezuela;;Camaras;7894.08;4
800-1725;R29 Colla v. auto;Tomaselli;;Camaras;2999;5
400-60-24 ;R26 Colla v. auto;Tomaselli;;Camaras;2196;16
092001  ;V. dunlop 20 (100);Cerezuela;;Camaras;2418.32;3
400-7957  ;CAMARA MTB R-29 BUTYLO A/V 48MM;Tomaselli;Marca Camel;Camaras;3834.6;2
092040  ;Kyowa 27.5-29 v. auto vulcanizada;Cerezuela;Comprende las marcas: DINI/ARISUN/KYOWA;Camaras;5129.04;21
092063  ;Vee Rubber butyl 27.5 x 1.50/1.75 V.auto vulc. / V  ;Cerezuela;;Camaras;6510.63;2
128025  ;Maxxum plastica con porta (100);Cerezuela;;Carama¤olas;2424.95;1
128030  ;Caramanola Roark plastica s/porta 550ml;Cerezuela;;Carama¤olas;1633.65;1
128033  ;Caramanola Roark plastica s/porta 750ml;Cerezuela;;Carama¤olas;1988.48;2
422-1-14  ;CASCO OXEA 18 VENT. IN MOLD TS-09;Tomaselli;;Cascos;28778.06;1
196203  ;R26 x 1.95 Taco comun ciudad;Cerezuela;;Cubiertas;10265.43;4
196203  ;DSH-R26 x 1.70 Taco para ruta;Cerezuela;;Cubiertas;10265.43;6
196203  ;DSH-R26 x 2.00 Taco bajo mtb;Cerezuela;;Cubiertas;10265.43;4
196203  ;DSH-R26 x 2.00 Taco mediano;Cerezuela;;Cubiertas;10265.43;2
196203  ;DSH-R26 x 2.00 Taco alto mtb ;Cerezuela;;Cubiertas;10265.43;3
400-ARI25;CUBIERTA ARISUN MOUNT EMMONS R-26X2.20 60 TPI;Tomaselli;;Cubiertas;14007.4;2
400-ARI26 ;CUBIERTA ARISUN MOUNT GRAHAM R-26X2.20 60 TPI;Tomaselli;;Cubiertas;14007.4;3
228014  ;Assize 11 funciones AS 880 caja amarilla            ;Cerezuela;;Cuenta Kil¢metros;8869.49;2
228030  ;Cuenta kilometros Echowell Bri-2 8 funciones blister                  ;Cerezuela;;Cuenta Kil¢metros;16959.72;1
376425  ;Desarma cadena Taiwan;Cerezuela;;Herramientas;8140.77;3
427-007   ;ESLINGA T/RULO 12*1200 MM C/SOPORTE;Tomaselli;Eslinga Tomaselli chiquita Security Forte;Cadenas;4650;4
112070  ;Firebird rulo 15 mm. llave                          ;Cerezuela;Security Lock Forte Motorcycle Parts;Cadenas;10537.07;1
376020  ;Estira rayos comun;Cerezuela;;Herramientas;996.45;2
392325  ;Beto doble válvula CLD-038                          ;Cerezuela;Valvulas Fijas;Infladores;13048.19;1
392332  ;Beto doble acción CMP-002                           ;Cerezuela;;Infladores;16257.24;4
404100  ;Silicona set delantera y trasera (30);Cerezuela;;Luces;4082.03;2
404500  ;Set recargable via USB delantera y trasera 120 lumens;Cerezuela;;Luces;18244.93;1
;Lentes;Cerezuela;;Lentes;1500;3
408063  ;T.T. 24-26 aluminio Foxter/Houston (10)             ;Cerezuela;;Llantas;4353.72;3
564032  ;Bici T.T. aluminio por unidad                       ;Cerezuela;;Llantas;9401.08;1
376123  ;Llave 7 funciones tipo cortaplumas;Cerezuela;;Herramientas;6548.25;1
012050  ;Jarama multiuso x 250cc. (12);Cerezuela;;Lubricantes;2568.65;3
248028  ;Delantero importado con rulemán                     ;Cerezuela;;Repuestos;4251.49;2
376035  ;Palanca saca cubierta plastica x 3 unid. (50);Cerezuela;;Herramientas;1473.39;4
20040;Parches preencolados slime;Cerezuela;;Parches;2373;11
;Pedales de aluminio;Cerezuela;;Repuestos;3347.82;2
456529  ;T.T. aluminio / acero                               ;Cerezuela;;Accesorio;9655.79;3
480120  ;6 coronas                                           ;Cerezuela;;Piñones;4464.64;1
480125  ;7 coronas                                           ;Cerezuela;;Repuestos;4847.45;1
480523  ;Shimano HG 200 9 c. cassette en caja (Acera)        ;Cerezuela;;Repuestos;40389.36;1
128220  ;Porta caramanola aluminio                           ;Cerezuela;;Carama¤olas;1531.3;1
128214  ;Portacaramanola plastico Smart color                ;Cerezuela;;Carama¤olas;1539.16;1
536168  ;Van Halen anillado aro aluminio (VAN 201)           ;Cerezuela;;Accesorio;11502.9;1
540350  ;Importado 2.34 mm. con niple x gruesa               ;Cerezuela;;Repuestos;8867.78;1
10091/10162;Slime p/camara 1 Galon;Baccola;;Liquido Antipinchazos;65541;1
10027/10004;Slime p/camara 16oz;Baccola;;Liquido Antipinchazos;9918;4
10021/10003;Slime p/camara 8oz;Baccola;;Liquido Antipinchazos;7280;3
10022/10011;Slime s/camara (tubeless) 16oz;Baccola;;Liquido Antipinchazos;12074;4
10007;Slime s/camara (tubeless) 8oz;Baccola;;Liquido Antipinchazos;8227;5
24041/1051-A;Solucion para parches slime;Baccola;;Parches;2762;1
20141;Tarugos;Baccola;;Repuestos;;10
1017-A;Valvulas cromadas slime;Baccola;;Accesorio;2209;1
